App,Category,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
Gods by Night,DATING,104,12M,"1,000+",Free,0,Mature 17+,Dating,4.1 and up
PlusOne,DATING,0,10M,1+,Free,0,Mature 17+,Dating,4.2 and up
Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,14,3.3M,50+,Free,0,Everyone,Dating,4.1 and up
Soul Mate,DATING,0,4.4M,10+,Free,0,Mature 17+,Dating,4.0.3 and up
Diamond Engagement Rings,DATING,0,3.5M,5+,Free,0,Everyone,Dating,4.0 and up
Dating Tips For Men,DATING,0,7.8M,10+,Free,0,Everyone,Dating,4.0.3 and up
Random Video Chat,DATING,3,16M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Find Lover,DATING,21,4.7M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Random Video Chat App With Strangers,DATING,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
"Chat Mexico: meet people, flirt and friendship",DATING,8,9.3M,"5,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Ai La Trieu Phu - ALTP Free,EDUCATION,776,24M,"100,000+",Free,0,Everyone,Education,4.0 and up
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,37,16M,"10,000+",Free,0,Everyone,Events,4.0 and up
Sarajevo Film Festival - Official,EVENTS,6,9.7M,100+,Free,0,Everyone 10+,Events,4.4W and up
Summer Madness,EVENTS,4,1.4M,100+,Free,0,Everyone,Events,4.0 and up
AAS-IN-ASIA 2018,EVENTS,3,11M,100+,Free,0,Everyone,Events,4.1 and up
Moot Peru 2018,EVENTS,13,27M,"1,000+",Free,0,Everyone,Events,3.0 and up
FM News,EVENTS,46,3.6M,"5,000+",Free,0,Everyone,Events,4.2 and up
Rockmaraton Info,EVENTS,49,13M,"1,000+",Free,0,Everyone,Events,4.4 and up
mobLee Events,EVENTS,11,11M,"5,000+",Free,0,Everyone,Events,4.1 and up
AMM Events & CPD,EVENTS,5,6.1M,100+,Free,0,Everyone,Events,4.3 and up
MeAuDote - An act of love that saves a life,EVENTS,250,23M,"1,000+",Free,0,Everyone,Events,4.1 and up
TCF National Conference,EVENTS,1,34M,100+,Free,0,Everyone,Events,4.1 and up
Easy and Fast Recipes,FOOD_AND_DRINK,95,12M,"50,000+",Free,0,Everyone,Food & Drink,2.3 and up
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,82,4.9M,"10,000+",Free,0,Everyone,Food & Drink,4.1 and up
Latest 2018 Home Designs,HOUSE_AND_HOME,174,8.7M,"10,000+",Free,0,Everyone,House & Home,2.3 and up
Yes319 real price login query,HOUSE_AND_HOME,12,5.1M,"5,000+",Free,0,Everyone,House & Home,4.0.3 and up
LH Housing Promotion Notice,HOUSE_AND_HOME,160,3.1M,"100,000+",Free,0,Everyone,House & Home,4.0 and up
Home tips and advice,HOUSE_AND_HOME,10,2.6M,"5,000+",Free,0,Everyone,House & Home,4.0.3 and up
Real estate court auction information site - Hyundai court auction,HOUSE_AND_HOME,10,4.2M,"10,000+",Free,0,Everyone,House & Home,4.3 and up
Lamp detector,LIBRARIES_AND_DEMO,5,1.8M,"1,000+",Free,0,Everyone,Libraries & Demo,2.3.3 and up
General culture,LIBRARIES_AND_DEMO,26,10M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
Luffs,LIBRARIES_AND_DEMO,487,3.7M,"100,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Words (188 Category),LIBRARIES_AND_DEMO,54,5.9M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Cold Spirits,LIBRARIES_AND_DEMO,363,2.5M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
How to sew & make the easiest pattern,LIBRARIES_AND_DEMO,110,10M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
I will return his eggs,LIBRARIES_AND_DEMO,91,18M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Benefits of olive oil with garlic,LIBRARIES_AND_DEMO,25,2.5M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Sad hair without net,LIBRARIES_AND_DEMO,20,2.1M,"5,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Patience Words,LIBRARIES_AND_DEMO,31,3.4M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Mama Lala 's song,LIBRARIES_AND_DEMO,102,21M,"50,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Young Speeches,LIBRARIES_AND_DEMO,2221,2.4M,"500,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Mcqueen Coloring pages,FAMILY,65,7.0M,"100,000+",Free,0,Everyone,Art & Design;Action & Adventure,4.1 and up
Arrhythmias and Dysrhythmias,MEDICAL,3,24M,500+,Paid,$1.00 ,Everyone,Medical,4.2 and up
Advanced Comprehension Therapy,MEDICAL,3,62M,100+,Paid,$24.99 ,Everyone,Medical,4.0.3 and up
Number Therapy,MEDICAL,0,5.3M,50+,Paid,$14.99 ,Everyone,Medical,4.0.3 and up
Free Blood Pressure,MEDICAL,7,5.7M,"5,000+",Free,0,Everyone,Medical,4.0.3 and up
Language Therapy: Aphasia,MEDICAL,10,28M,"1,000+",Paid,$74.99 ,Everyone,Medical,4.0.3 and up
Advanced Comprehension Therapy,MEDICAL,3,62M,100+,Paid,$24.99 ,Everyone,Medical,4.0.3 and up
Visualmed,MEDICAL,0,3.1M,1+,Paid,$2.99 ,Everyone,Medical,4.1 and up
ABG Master,MEDICAL,2,1.8M,50+,Paid,$0.99 ,Everyone,Medical,4.1 and up
OrthoFlow,MEDICAL,0,66M,10+,Paid,$5.99 ,Everyone,Medical,4.2 and up
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,0,5.0M,1+,Paid,$0.99 ,Everyone,Medical,4.0.3 and up
Penn State Health OnDemand,MEDICAL,0,40M,50+,Free,0,Everyone,Medical,4.0.3 and up
Breastfeeding Tracker Baby Log,MEDICAL,6,23M,100+,Free,0,Everyone,Medical,5.0 and up
Lego Ninjago Wallpaper,MEDICAL,2,15M,100+,Free,0,Everyone,Medical,3.0 and up
RT 516 VET,MEDICAL,0,29M,10+,Free,0,Everyone,Medical,4.0.3 and up
EXOGEN Connects (US),MEDICAL,0,16M,10+,Free,0,Everyone,Medical,4.1 and up
Full Code - Emergency Medicine Simulation,MEDICAL,0,65M,100+,Free,0,Everyone,Medical,5.0 and up
Maricopa AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Dare EMS Protocols,MEDICAL,0,20M,10+,Free,0,Everyone 10+,Medical,4.1 and up
Pediatric Emergency Guide,MEDICAL,0,3.8M,100+,Free,0,Everyone,Medical,4.4 and up
Weill Cornell Medicine,MEDICAL,0,19M,50+,Free,0,Everyone,Medical,5.0 and up
Doctors Care,MEDICAL,0,25M,10+,Free,0,Everyone,Medical,4.4 and up
PCOS Guide - Fight PCOS naturally,MEDICAL,0,5.1M,100+,Free,0,Everyone,Medical,5.0 and up
EVA - Menstrual calendar and fertility,MEDICAL,25,16M,"1,000+",Free,0,Everyone,Medical,4.1 and up
Hello Face,MEDICAL,0,1.5M,10+,Free,0,Everyone,Medical,4.4 and up
Diabetes Testing,MEDICAL,1,3.6M,500+,Free,0,Mature 17+,Medical,4.0.3 and up
GGDE: Prevent & Beat Depression Symptoms,MEDICAL,2,20M,50+,Free,0,Everyone,Medical,4.0 and up
Jaylex,MEDICAL,0,13M,10+,Free,0,Everyone,Medical,4.2 and up
Clinical Pharmacology,MEDICAL,0,3.6M,10+,Free,0,Everyone,Medical,4.1 and up
Smartshading AI,MEDICAL,0,10M,10+,Free,0,Everyone,Medical,4.1 and up
Eversense,MEDICAL,3,17M,100+,Free,0,Everyone,Medical,4.4 and up
Drug Calculator,MEDICAL,0,4.6M,10+,Free,0,Everyone,Medical,4.4 and up
HACH Cares,MEDICAL,0,28M,10+,Free,0,Everyone,Medical,4.0.3 and up
WAH 247,MEDICAL,0,29M,1+,Free,0,Everyone,Medical,4.0.3 and up
ear super hearing,MEDICAL,0,1.4M,5+,Free,0,Everyone,Medical,4.0 and up
Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,MEDICAL,1,12M,10+,Free,0,Everyone,Medical,4.0 and up
COPD GOLD 2017,MEDICAL,5,2.2M,10+,Free,0,Everyone,Medical,4.0 and up
Summit Medical Video Visits,MEDICAL,0,27M,10+,Free,0,Everyone,Medical,4.1 and up
ExtendedCare Virtual Care Room,MEDICAL,0,18M,5+,Free,0,Everyone,Medical,5.1 and up
Lord Fairfax EMS Council,MEDICAL,0,30M,50+,Free,0,Everyone,Medical,4.0.3 and up
MyWoundDoctor - Provider,MEDICAL,0,3.5M,1+,Free,0,Everyone,Medical,5.0 and up
Warfarin Dose Calculator,MEDICAL,0,6.9M,50+,Free,0,Everyone,Medical,4.1 and up
Renesas PMA,MEDICAL,0,6.6M,5+,Free,0,Everyone,Medical,4.4 and up
4 Paws PH,MEDICAL,1,29M,5+,Free,0,Everyone,Medical,4.0.3 and up
high cholesterol levels,MEDICAL,0,3.3M,100+,Free,0,Everyone,Medical,4.1 and up
Thyroid Nodules,MEDICAL,0,20M,10+,Free,0,Everyone,Medical,4.3 and up
Training course: Learn Nursing,MEDICAL,0,7.0M,100+,Free,0,Everyone,Medical,4.1 and up
14thStreetVet,MEDICAL,0,29M,5+,Free,0,Everyone,Medical,4.0.3 and up
OMD Protocols,MEDICAL,0,Varies with device,10+,Free,0,Everyone,Medical,Varies with device
Penn State Health OnDemand,MEDICAL,0,40M,50+,Free,0,Everyone,Medical,4.0.3 and up
HHS,MEDICAL,0,4.3M,500+,Free,0,Everyone,Medical,4.0 and up
Free Blood Pressure,MEDICAL,7,5.7M,"5,000+",Free,0,Everyone,Medical,4.0.3 and up
Every disease has a drug without internet,MEDICAL,44,4.0M,"10,000+",Free,0,Everyone,Medical,4.1 and up
Blood Pressure,MEDICAL,10,2.4M,"1,000+",Free,0,Everyone,Medical,2.3 and up
RT 516 VET,MEDICAL,0,29M,10+,Free,0,Everyone,Medical,4.0.3 and up
Breastfeeding Tracker Baby Log,MEDICAL,6,23M,100+,Free,0,Everyone,Medical,5.0 and up
PatientPORTAL by InteliChart,MEDICAL,1,32M,500+,Free,0,Everyone,Medical,5.0 and up
Android TV Remote Service,TOOLS,1,3.7M,"1,000,000+",Free,0,Everyone,Tools,7.0 and up
SD card backup,TOOLS,142,Varies with device,"1,000,000+",Free,0,Everyone,Tools,Varies with device
Zoo For Preschool Kids 3-9 Years,PARENTING,76,8.2M,"10,000+",Free,0,Everyone,Parenting;Education,4.0 and up
Arabic Alphabets,PARENTING,34,6.2M,"10,000+",Free,0,Everyone,Parenting,2.2 and up
Learn the letters and words,PARENTING,31,85M,"10,000+",Free,0,Everyone,Parenting;Education,4.0.3 and up
Ali Baba's Farm Tutorial Kids Games,PARENTING,36,5.5M,"5,000+",Free,0,Everyone,Parenting,4.1 and up
Learning English for children,PARENTING,67,15M,"50,000+",Free,0,Everyone,Parenting;Education,2.3 and up
We learn children's verses in kindergarten,PARENTING,3248,6.5M,"100,000+",Free,0,Everyone,Parenting;Education,4.0 and up
Educational Children's Songs,PARENTING,163,59M,"100,000+",Free,0,Everyone,Parenting,4.0.3 and up
Favorite Soviet cartoons,PARENTING,63,4.9M,"10,000+",Free,0,Everyone,Parenting,4.0 and up
How do I care about my child?,PARENTING,34,4.9M,"10,000+",Free,0,Everyone,Parenting,4.0 and up
Voice Tables - no internet,PARENTING,970,71M,"100,000+",Free,0,Everyone,Parenting,4.0.3 and up
Video Wallpaper Show,VIDEO_PLAYERS,0,13M,500+,Free,0,Everyone,Video Players & Editors,4.0.3 and up
B-17 Flying Fortress WWII LWP,PERSONALIZATION,7,14M,100+,Paid,$1.49 ,Everyone,Personalization,4.1 and up
CURSUM B,GAME,30,26M,500+,Paid,$0.99 ,Everyone,Racing,2.3 and up
F,TOOLS,6,4.9M,500+,Free,0,Everyone,Tools,4.0 and up
Norwegian For Kids & Babies F,FAMILY,0,14M,5+,Paid,$39.99 ,Everyone,Education,4.0 and up
F-1 watchface by Delta,PERSONALIZATION,0,Varies with device,10+,Paid,$2.49 ,Everyone,Personalization,Varies with device
F Length Sim (no Ads),PHOTOGRAPHY,0,1.7M,10+,Paid,$2.00 ,Everyone,Photography,4.0.3 and up
G-NetReport Pro,TOOLS,0,1.6M,10+,Paid,$25.99 ,Everyone,Tools,4.0 and up
H letter images,SOCIAL,17,8.5M,"1,000+",Free,0,Teen,Social,4.0.3 and up
D+H Reaction Wall,GAME,0,Varies with device,1+,Paid,$0.99 ,Everyone,Arcade,Varies with device
The J-Notes: Jazz News,SPORTS,7,7.2M,"1,000+",Free,0,Everyone 10+,Sports,4.1 and up
J Alvarej Moji,COMMUNICATION,2,13M,10+,Paid,$1.99 ,Everyone,Communication,3.2 and up
J Balvin Piano Tiles,GAME,6,30M,500+,Free,0,Everyone,Music,4.1 and up
Guess the song of J Balvin,GAME,28,8.9M,"1,000+",Free,0,Everyone,Trivia,4.1 and up
J. Polep Plus Mobile,PRODUCTIVITY,0,44M,100+,Free,0,Everyone,Productivity,5.0 and up
BTS J-Hope Wallpaper HD for KPOP Fans,PERSONALIZATION,4,3.6M,500+,Free,0,Everyone,Personalization,4.0 and up
Speech Therapy: K,FAMILY,2,15M,"1,000+",Free,0,Everyone,Education,2.3.3 and up
Mermaid Princess Pre K Games,FAMILY,19,31M,"5,000+",Free,0,Everyone,Educational;Education,4.1 and up
K-App Mitarbeiter Galeria Kaufhof,PRODUCTIVITY,0,19M,100+,Free,0,Everyone,Productivity,4.4 and up
Wallpapers Bus Scania Irizar K,PERSONALIZATION,35,15M,"10,000+",Free,0,Teen,Personalization,2.3.3 and up
Obbligo o VeritÃ ? PRO,GAME,4,2.9M,100+,Paid,$0.99 ,Teen,Board,3.0 and up
Android P Home KLWP,PERSONALIZATION,0,2.1M,5+,Paid,$1.49 ,Everyone,Personalization,5.0 and up
Pacify Exceed (Android P) - Theme for Xperiaâ„¢,PERSONALIZATION,5,1.9M,10+,Paid,$1.49 ,Everyone,Personalization,6.0 and up
Pistachio Launcher for Android P 9.0,PERSONALIZATION,0,2.3M,1+,Paid,$1.49 ,Everyone,Personalization,4.1 and up
Pacify (Android P theme) - Theme for Xperiaâ„¢,PERSONALIZATION,1,1.8M,10+,Paid,$0.99 ,Everyone,Personalization,5.0 and up
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,0,5.5M,0+,Paid,$1.49 ,Everyone,Personalization,4.2 and up
Pureness Pacify (Android P) - Theme for Xperiaâ„¢,PERSONALIZATION,0,3.6M,1+,Paid,$1.49 ,Everyone,Personalization,6.0 and up
Theme for New Android P,PERSONALIZATION,13,4.3M,"1,000+",Free,0,Everyone,Personalization,4.0 and up
P XPERIA Themeâ„¢ | PURPLE - Design For SONY ðŸŽ¨,PERSONALIZATION,3,13M,500+,Free,0,Everyone,Personalization,4.4 and up
P XPERIA Themeâ„¢ | INDIGO - Design For SONY ðŸŽ¨,PERSONALIZATION,12,14M,"1,000+",Free,0,Everyone,Personalization,4.4 and up
P Icon Pack,FAMILY,0,21M,10+,Paid,$0.99 ,Everyone,Entertainment,4.0.3 and up
Q Actions - Digital Assistant,PRODUCTIVITY,0,Varies with device,500+,Free,0,Everyone,Productivity,Varies with device
Q Call,TOOLS,20,16M,"1,000+",Free,0,Everyone,Tools,4.0 and up
R Programming,FAMILY,2,5.9M,"1,000+",Free,0,Everyone,Education,4.0.3 and up
Learn R Programming Full,BOOKS_AND_REFERENCE,11,9.2M,"5,000+",Free,0,Everyone,Books & Reference,5.0 and up
R Programming Tutorial,FAMILY,5,2.8M,"1,000+",Free,0,Everyone,Education,4.0.3 and up
Guide for R Programming,BOOKS_AND_REFERENCE,0,3.7M,5+,Free,0,Everyone,Books & Reference,4.1 and up
Learn R Programming,BOOKS_AND_REFERENCE,0,29M,10+,Free,0,Everyone,Books & Reference,4.1 and up
R Quick Reference Big Data,BOOKS_AND_REFERENCE,6,3.6M,"1,000+",Free,0,Everyone,Books & Reference,2.3 and up
Learn R Programming Free EBook,FAMILY,1,5.7M,50+,Free,0,Everyone,Education,4.0 and up
RMEduS - ìŒì„±ì¸ì‹ì„ í™œìš©í•œ R í”„ë¡œê·¸ëž˜ë° ì‹¤ìŠµ ì‹œìŠ¤í…œ,FAMILY,4,64M,1+,Free,0,Everyone,Education,4.4 and up
R Programming Language (Paperset 2) MCQ Quiz,FAMILY,0,3.4M,10+,Free,0,Everyone,Education,4.0.3 and up
Mat|r viewer,PRODUCTIVITY,5,28M,100+,Free,0,Everyone,Productivity,5.0 and up
Tutorials for R Programming Offline,FAMILY,2,4.4M,500+,Free,0,Everyone,Education,4.0 and up
R Programming Language (Paperset 1) MCQ Quiz,FAMILY,1,3.4M,10+,Free,0,Everyone,Education,4.0.3 and up
FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,2,17M,50+,Paid,$9.99 ,Everyone,Auto & Vehicles,4.0 and up
iLauncher OS 12 Pro - Phone X,PERSONALIZATION,3,9.6M,50+,Paid,$2.99 ,Everyone,Personalization,4.1 and up
Cardio Z,MEDICAL,24,10M,100+,Paid,$5.99 ,Everyone,Medical,4.4 and up
Z PIVOT,COMMUNICATION,0,5.7M,10+,Paid,$19.99 ,Everyone,Communication,4.2 and up
AB Anywhere Mobile Banking,FINANCE,3,11M,500+,Free,0,Everyone,Finance,4.4 and up
Best Blood Type AB: Food Diet & Personality,LIFESTYLE,3,37M,"1,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
Chatime AB Rewards,FAMILY,9,22M,"1,000+",Free,0,Everyone,Entertainment,4.2 and up
Dashboard AE,AUTO_AND_VEHICLES,0,13M,10+,Free,0,Everyone,Auto & Vehicles,6.0 and up
AE Manager,TOOLS,0,4.0M,100+,Free,0,Everyone,Tools,4.0.3 and up
Ivanti AE Agent,BUSINESS,1,2.9M,"1,000+",Free,0,Everyone,Business,4.0.3 and up
Toppen af Danmark,TRAVEL_AND_LOCAL,8,6.1M,"5,000+",Free,0,Everyone,Travel & Local,4.4 and up
AF-STROKE,MEDICAL,5,902k,100+,Paid,$5.00 ,Teen,Medical,2.1 and up
i-share AF/KLM (AFKL ishare),SOCIAL,2,53M,100+,Free,0,Teen,Social,4.1 and up
AF Legendary 2017,BUSINESS,0,11M,50+,Free,0,Teen,Business,4.1 and up
AzadBazar.af,SHOPPING,3,3.7M,100+,Free,0,Everyone,Shopping,4.0 and up
AF Nutrition - Integratori,HEALTH_AND_FITNESS,6,19M,100+,Free,0,Everyone,Health & Fitness,4.1 and up
AF Our Time to Shine,BUSINESS,0,11M,100+,Free,0,Everyone,Business,4.1 and up
AF Johannesburg,FAMILY,3,11M,100+,Free,0,Everyone,Education,4.1 and up
Apps for SportsBÑ”tting.ag - Bitcoin Welcome here!,SPORTS,0,10.0M,"1,000+",Free,0,Everyone,Sports,4.0 and up
Ag Weather Tools,WEATHER,0,4.6M,500+,Free,0,Everyone,Weather,5.0 and up
Ag Tools,TOOLS,2,18M,"1,000+",Free,0,Everyone,Tools,4.0.3 and up
SOLEM AG,TOOLS,1,51M,"1,000+",Free,0,Everyone,Tools,4.0 and up
Elim AG,LIFESTYLE,7,Varies with device,100+,Free,0,Everyone,Lifestyle,4.2 and up
AG Subway Simulator Pro,FAMILY,0,Varies with device,"1,000+",Free,0,Everyone,Simulation,Varies with device
BRL AG,TOOLS,0,52M,100+,Free,0,Everyone,Tools,4.0 and up
Oklahoma Ag Co-op Council,COMMUNICATION,0,4.9M,10+,Free,0,Everyone,Communication,4.0.3 and up
AG Fast Service Automotive,AUTO_AND_VEHICLES,5,1.7M,100+,Free,0,Everyone,Auto & Vehicles,4.4 and up
Ag PhD Planting Population Calculator,BOOKS_AND_REFERENCE,0,5.2M,"1,000+",Free,0,Everyone,Books & Reference,4.0.3 and up
Ag Trucking Mobile App,PRODUCTIVITY,0,43M,100+,Free,0,Everyone,Productivity,4.0.3 and up
Ag Guardian,PRODUCTIVITY,1,2.0M,100+,Free,0,Everyone,Productivity,4.0 and up
Wind & Weather Meter for Ag,WEATHER,3,14M,"1,000+",Free,0,Everyone,Weather,4.3 and up
Ag Across America,FAMILY,0,15M,10+,Free,0,Everyone,Educational;Education,4.1 and up
Border Ag & Energy,BUSINESS,0,12M,50+,Free,0,Everyone,Business,4.3 and up
Ag-Pro Companies,BUSINESS,0,45M,50+,Free,0,Everyone,Business,4.4 and up
My Ag Report,PRODUCTIVITY,1,3.2M,50+,Free,0,Everyone,Productivity,5.1 and up
Alabama Ag Credit Ag Banking,FINANCE,0,Varies with device,100+,Free,0,Everyone,Finance,4.4 and up
AG EMS Tour,FAMILY,3,62M,500+,Free,0,Everyone,Entertainment,4.0 and up
AG test,TOOLS,3,18M,100+,Free,0,Everyone,Tools,4.1 and up
West Central Ag,BUSINESS,3,1.7M,100+,Free,0,Everyone,Business,4.0 and up
Tri-Ag (WV) FCU,FINANCE,0,2.9M,100+,Free,0,Everyone,Finance,4.1 and up
Ag PhD Soybean Diseases,BOOKS_AND_REFERENCE,0,5.9M,"1,000+",Free,0,Everyone,Books & Reference,4.0.3 and up
United Ag Cooperative,BUSINESS,0,4.2M,5+,Free,0,Everyone,Business,4.4 and up
Michael's AG Sound Board,FAMILY,0,1.7M,1+,Paid,$0.99 ,Everyone,Entertainment,1.6 and up
Ag-Power,BUSINESS,0,47M,10+,Free,0,Everyone,Business,4.4 and up
Freeland AH,MEDICAL,0,28M,100+,Free,0,Everyone,Medical,4.0.3 and up
MD PAWS AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Woodland AH,MEDICAL,0,Varies with device,50+,Free,0,Everyone,Medical,4.0.3 and up
Mukwonago AH,MEDICAL,1,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Angelcare AH,MEDICAL,0,29M,50+,Free,0,Everyone,Medical,4.0.3 and up
Sayers AH,MEDICAL,0,29M,50+,Free,0,Everyone,Medical,4.0.3 and up
Claus Paws AH,MEDICAL,1,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Denis Brogniart - AH 2 !,FAMILY,4,14M,100+,Free,0,Everyone,Entertainment,2.1 and up
Maricopa AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
WAH AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
San Dimas AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Ah Bailar,FAMILY,10,3.0M,100+,Free,0,Everyone,Entertainment,5.0 and up
Boston AH,MEDICAL,1,29M,50+,Free,0,Everyone,Medical,4.0.3 and up
Ah !,FAMILY,3,22M,50+,Free,0,Everyone,Entertainment,5.0 and up
Kay AH GA,MEDICAL,0,29M,1+,Free,0,Everyone,Medical,4.0.3 and up
Bayview Hill AH,MEDICAL,0,29M,50+,Free,0,Everyone,Medical,4.0.3 and up
Hilltop AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
Ah Ha Block,FAMILY,2,16M,100+,Free,0,Everyone,Casual,4.0 and up
AH Lake Villa,MEDICAL,3,27M,100+,Free,0,Everyone,Medical,4.0.3 and up
Ferguson AH,MEDICAL,0,29M,100+,Free,0,Everyone,Medical,4.0.3 and up
